Variable #,Applicable for Material Change ONLY (New Variable or existing variable),Model Variable/ Field Name,Model Variable Definition (A business Friendly Definition),Variable Lift*,Transformation,Data Element(s) from Source,Source DataSet Name,Data Domain(s),Database/Environment,Schema within the database,Table within the Source Schema,Column within the Source Table,Regulated (y/n),Restricted (y/n),Royalties (y/n)
1,New Variable,landuse_change_qtr_mi_cnt,Count of parcels within a quarter mile flagged with a qualifying land-use change (vacant/agricultural to residential/commercial).,0.0159,Derive per-parcel land-use-change flag (previous vacant/ag land use moving to residential/commercial); count flagged parcels within 402.336 m (1/4 mile) via ST_DWITHIN.,"landuse_change_indicator, previous_land_use_code, irislandusecd",Panoramiq Growth Indicators; Property,Property / Land Use,BigQuery - prod (clgx-idap-bigquery-prd-a990),edr_ent_property_enriched; edr_ent_property_fulfillment,vw_edr_panoramiq_growth_indicators_v2; vw_property_v1,"landuse_change_indicator, previous_land_use_code; irislandusecd",TBD (Legal),TBD (Legal),n
2,New Variable,pre_early_dev_qtr_mi_cnt,Count of parcels within a quarter mile in pre/early development (new parcel identifier or recent parcel split).,0.0275,Consolidate new-clip and recent parcel-split (last 2 yrs) into a pre-early-dev flag; count flagged parcels within 402.336 m (1/4 mile) via ST_DWITHIN.,"new_clip_indicator, PARCEL_CHANGE_EVENT_TYPE, EVENT_RECORD_DATE",Panoramiq Growth Indicators; Parcel Lineage,Property / Parcel,BigQuery - prod (clgx-idap-bigquery-prd-a990),edr_ent_property_enriched; edr_pmd_property_pipeline,vw_edr_panoramiq_growth_indicators_v2; vw_parcel_lineage_event,"new_clip_indicator; PARCEL_CHANGE_EVENT_TYPE, EVENT_RECORD_DATE",TBD (Legal),TBD (Legal),n
3,New Variable,bldr_dev_qtr_mi_cnt,Count of parcels within a quarter mile owned by a builder/developer.,0.0159,Flag builder/developer ownership at the parcel; count flagged parcels within 402.336 m (1/4 mile) via ST_DWITHIN.,builder_developer_ownership_indicator,Panoramiq Growth Indicators,Property,BigQuery - prod (clgx-idap-bigquery-prd-a990),edr_ent_property_enriched,vw_edr_panoramiq_growth_indicators_v2,builder_developer_ownership_indicator,TBD (Legal),TBD (Legal),n
4,New Variable,new_permit_qtr_mi_cnt,Count of parcels within a quarter mile with a recent new-construction building permit.,0.0244,Flag recent new-construction building permit at the parcel; count flagged parcels within 402.336 m (1/4 mile) via ST_DWITHIN.,recent_new_con_bldg_permit_indicator,Panoramiq Growth Indicators,Building Permits,BigQuery - prod (clgx-idap-bigquery-prd-a990),edr_ent_property_enriched,vw_edr_panoramiq_growth_indicators_v2,recent_new_con_bldg_permit_indicator,TBD (Legal),TBD (Legal),n
5,New Variable,dist_to_nearest_hotspot_miles,Distance in miles from the parcel to the nearest growth hotspot (a cell with a high volume and variety of growth signals).,0.0851,"Aggregate growth parcels to H3 resolution-7 cells; keep cells with >=50 total flags and >=10 variety as hotspots; ST_DISTANCE from parcel centroid to nearest hotspot, converted metres to miles (/1609.34).","parcel_latitude, parcel_longitude (+ growth flags from variables 1-4)",Parcel Universe (derived from growth flags),Property / Geospatial,BigQuery - prod (clgx-idap-bigquery-prd-a990),edr_pmd_property_pipeline,vw_parcel_universe,"parcel_latitude, parcel_longitude",TBD (Legal),TBD (Legal),n
6,New Variable,cable_penetration,Share of housing units in the census block served by cable broadband.,0.0653,"SAFE_DIVIDE(cable_location_count, census_housing_units); clip to [0,1]; null-fill 0.","cable_location_count, census_housing_units",FCC Fixed Broadband,Broadband / Telecom (FCC),BigQuery - prod (clgx-idap-bigquery-prd-a990),edr_ent_common_reference_ext,fcc_cable_fixed_broadband; fcc_fixed_broadband_summary_census,cable_location_count; census_housing_units,TBD (Legal),TBD (Legal),n
7,New Variable,fiber_opportunity_gap,Share of census-block housing units without fiber service (unserved fiber opportunity).,0.1808,"(census_housing_units - fiber_location_count)/census_housing_units; clip to [0,1]; null-fill 1.","fiber_location_count, census_housing_units",FCC Fixed Broadband,Broadband / Telecom (FCC),BigQuery - prod (clgx-idap-bigquery-prd-a990),edr_ent_common_reference_ext,fcc_fiber_fixed_broadband; fcc_fixed_broadband_summary_census,fiber_location_count; census_housing_units,TBD (Legal),TBD (Legal),n
8,New Variable,fiber_speed_top_tier,"Whether the block has top-tier (1000/100 Mbps) fiber, gated on serviceable fiber being present.",0.1598,"fiber_speed_1000_100_only multiplied by has_fiber, where has_fiber = (fiber_location_count>0 AND fiber_provider_count>0).","fiber_speed_1000_100_only, fiber_location_count, fiber_provider_count",FCC Fixed Broadband,Broadband / Telecom (FCC),BigQuery - prod (clgx-idap-bigquery-prd-a990),edr_ent_common_reference_ext,fcc_fixed_broadband_summary_census; fcc_fiber_fixed_broadband,"fiber_speed_1000_100_only; fiber_location_count, fiber_provider_count",TBD (Legal),TBD (Legal),n
9,New Variable,dist_to_nearest_fiber_miles,Distance in miles from the parcel to the nearest fiber-optic cable line.,0.0957,"Clean/subdivide fiber-optic cable geometry (exclude abandoned); ST_DWITHIN search within 15 miles; MIN(ST_DISTANCE) from parcel centroid, converted metres to miles (/1609.34).","geometry, status (fiber-optic cables); parcel_centroid",Rextag Fiber-Optic Cables,Telecom Infrastructure (Rextag),BigQuery - prod (clgx-idap-bigquery-prd-a990),edr_ent_common_reference_ext (CONFIRM w/ DE),vw_rextag_telecommunications_fiber_optic_cables,"geometry, status",TBD (Legal),TBD (Legal),y (licensed third-party)
10,New Variable,provider_competitive_landscape_ord,Ordinal 0-6 describing the block broadband competitive landscape (no providers -> greenfield -> cable-only -> fiber entry/duopoly/competitive/saturated).,0.0898,Provider-count ladder mapped to a text label then to an ordinal 0-6 based on copper/cable/fiber provider counts.,"copper_provider_count, cable_provider_count, fiber_provider_count",FCC Fixed Broadband,Broadband / Telecom (FCC),BigQuery - prod (clgx-idap-bigquery-prd-a990),edr_ent_common_reference_ext,fcc_copper_fixed_broadband; fcc_cable_fixed_broadband; fcc_fiber_fixed_broadband,"copper_provider_count, cable_provider_count, fiber_provider_count",TBD (Legal),TBD (Legal),n
11,New Variable,pop_ch_avg,Average annual absolute change in the 10-mile population estimate since 2022 for the census tract.,0.0922,Using Q3 series: (pop_est_10mile_now - pop_est_10mile_2022)/(year_now - 2022); rounded.,"pop_est_10mile, year, quarter, ct_key",NeighborhoodScout,Demographics,BigQuery - prod (clgx-idap-bigquery-prd-a990),edr_ent_property_neighborhood,neighborhood_scout_census_tract,"pop_est_10mile, year, quarter, ct_key",TBD (Legal),TBD (Legal),n
12,New Variable,pop_pctch_avg,Average annual percentage change in the 10-mile population estimate since 2022 for the census tract.,0.0925,Using Q3 series: 100 * (pop_now - pop_2022)/pop_2022 / (year_now - 2022); rounded.,"pop_est_10mile, year, quarter, ct_key",NeighborhoodScout,Demographics,BigQuery - prod (clgx-idap-bigquery-prd-a990),edr_ent_property_neighborhood,neighborhood_scout_census_tract,"pop_est_10mile, year, quarter, ct_key",TBD (Legal),TBD (Legal),n
13,New Variable,census_housing_units,Count of housing units in the census block.,0.0551,"Housing-unit count per census block, joined to the parcel at block grain.",census_housing_units (block housing count),Census Address Count Listing OR FCC Summary (CONFIRM),Census,BigQuery - prod (clgx-idap-bigquery-prd-a990),edr_ent_common_reference_ext (CONFIRM origin: FCC summary vs Census ACL),fcc_fixed_broadband_summary_census OR Census Address Count Listing,census_housing_units,TBD (Legal),TBD (Legal),n
